response_id,source_type,kmeans_cluster,hierarchical_cluster
AI_0092,AI,1,0
AI_0093,AI,1,1
AI_0094,AI,1,1
AI_0095,AI,1,1
AI_0096,AI,1,0
AI_0097,AI,1,1
AI_0098,AI,1,1
AI_0099,AI,1,1
AI_0100,AI,1,0
AI_0101,AI,1,1
AI_0102,AI,1,1
AI_0103,AI,1,1
AI_0104,AI,1,0
AI_0105,AI,1,1
AI_0106,AI,1,1
AI_0107,AI,1,1
AI_0108,AI,1,0
AI_0109,AI,1,1
AI_0110,AI,1,1
AI_0111,AI,1,1
AI_0112,AI,1,0
AI_0113,AI,1,1
AI_0114,AI,1,1
AI_0115,AI,1,1
AI_0116,AI,1,0
AI_0117,AI,1,1
AI_0118,AI,1,1
AI_0119,AI,1,1
AI_0120,AI,1,0
AI_0121,AI,1,1
AI_0122,AI,1,1
AI_0123,AI,1,1
AI_0124,AI,1,1
AI_0125,AI,1,1
AI_0126,AI,1,1
AI_0127,AI,1,1
AI_0128,AI,1,1
AI_0129,AI,1,1
AI_0130,AI,1,1
AI_0131,AI,1,1
AI_0132,AI,1,1
AI_0133,AI,1,1
AI_0134,AI,1,1
AI_0135,AI,1,1
AI_0136,AI,1,1
AI_0137,AI,1,1
AI_0138,AI,1,1
AI_0139,AI,1,1
AI_0140,AI,1,1
AI_0141,AI,1,1
AI_0142,AI,1,1
AI_0143,AI,1,1
AI_0144,AI,1,1
AI_0145,AI,1,1
AI_0146,AI,1,1
AI_0147,AI,1,1
AI_0148,AI,1,1
AI_0149,AI,1,1
AI_0150,AI,1,1
AI_0151,AI,1,1
AI_0152,AI,1,1
AI_0153,AI,1,1
AI_0154,AI,1,1
AI_0155,AI,1,1
AI_0156,AI,1,1
AI_0157,AI,1,1
AI_0158,AI,1,1
AI_0159,AI,1,1
AI_0160,AI,1,1
AI_0161,AI,1,1
AI_0162,AI,1,1
AI_0163,AI,1,1
AI_0164,AI,1,1
AI_0165,AI,1,1
AI_0166,AI,1,1
AI_0167,AI,1,1
AI_0168,AI,1,1
AI_0169,AI,1,1
AI_0170,AI,1,1
AI_0171,AI,1,1
AI_0172,AI,1,0
AI_0173,AI,1,1
AI_0174,AI,1,1
AI_0175,AI,1,1
AI_0176,AI,1,1
AI_0177,AI,1,1
AI_0178,AI,1,1
AI_0179,AI,1,1
AI_0180,AI,1,1
